,stability,stability,tracking_error,tracking_error,fall_rate,fall_rate
,mean,std,mean,std,mean,std
name,,,,,,
16_head,0.2808,0.0811,0.0817,0.0413,0.0415,0.1996
1_head,0.311,0.0874,0.0978,0.0452,0.0077,0.0874
2_head,0.3039,0.058,0.0932,0.0483,0.0138,0.1169
32_head,0.2706,0.0818,0.0994,0.0658,0.1062,0.3082
4_head,0.288,0.0755,0.089,0.0291,0.0192,0.1374
8_head,0.2929,0.0679,0.0962,0.0406,0.0262,0.1597
